index	study_id	id	author	year	group	group_id	group_desc	url	country	region	city	time_MAX	time_50	time_MIN	detailed_time	exp_dur	fu_dur	age_base	age_SD	days_ps	days_cat	yrs_ps	stroke_type	nihss_base	mmse_base	mMmse_base	fim_base	brunstrom_base	frenchay_base	fac_base	barthel_base	mBarthel_base	motricity_base	BBS_base	BBT_base	gcs_base	MAS_base	sis_base	rivermead_base	ashworth_base	mAshworth_base	rankin_base	bdi_base	cesd_base	OPS_base	terminal_dropout	outcome_name	fma_outcome	speed_outcome	SCOAR_outcome	p_outcome_stated	itt_analysis	base_n	base_m	base_sd	difference_score	term_n	term_m	term_sd	diff_base	diff_term	fu_n	fu_m	fu_sd	est_corr	term_diff	term_s_diff	fu_diff	fu_s_diff	term_d	fu_d	j_corr_factor	term_g	fu_g	term_Vd	fu_Vd	term_Vg	fu_Vg
1	1	abdullah2011	abdullah	2011	ctrl	1	conventional physiotherapy	http://www.jneuroengrehab.com/content/8/1/50	canada	ontario	guelph							70.4		30.1	<90days	0.082465753	0																							0	Chedoke Arm Hand			lohse	1	0	11	2.27		0	11	2.6							0.5	0.33						0.923076923						
2	1	abdullah2011	abdullah	2011	exp	2	robot assisted therapy	http://www.jneuroengrehab.com/content/8/1/50	canada	ontario	guelph							75.7		30.1	<90days	0.082465753	0																							1	Chedoke Arm Hand			lohse	1	0	9	2.53		0	8	2.96							0.5	0.43						0.903225806						
3	2	ada2003	ada	2003	ctrl	3	low intensity home exercise	http://www.ncbi.nlm.nih.gov/pubmed/14586916	australia	new south wales	sydney					28	49	66	11	780	>1year	2.136986301	0																							0	10mwt SSV		speed	lohse	0	0	14	0.53	0.3	0	14	0.56	0.3	0	0	13	0.64	0.29	0.5	0.03	0.3	0.11	0.295242273	0.1	0.372575373	0.941176471	0.094117647	0.350659174	0.071785714	0.076386157	0.06358873	0.067663863
4	2	ada2003	ada	2003	exp	4	overground and treadmill walking	http://www.ncbi.nlm.nih.gov/pubmed/14586916	australia	new south wales	sydney	6	6	6	1	28	49	66	11	840	>1year	2.301369863	0																							1	10mwt SSV		speed	lohse	0	0	13	0.62	0.24	0	11	0.75	0.26	0	0	13	0.83	0.26	0.5	0.13	0.249289901	0.21	0.25019992	0.521481214	0.839328805	0.936170213	0.488195179	0.785754626	0.08738241	0.104018186	0.076583226	0.091163064
5	2	ada2003	ada	2003	ctrl	3	low intensity home exercise	http://www.ncbi.nlm.nih.gov/pubmed/14586916	australia	new south wales	sydney					28	49	66	11	780	>1year	2.136986301	0																							0	6minwt			USU	0	0	14	257	113	0	14	269	123	0	0	13	295	122	0.5	12	118.1058847	38	117.4061327	0.101603743	0.32366282	0.941176471	0.095627053	0.304623831	0.071797261	0.075169915	0.063598958	0.066586499
6	2	ada2003	ada	2003	exp	4	overground and treadmill walking	http://www.ncbi.nlm.nih.gov/pubmed/14586916	australia	new south wales	sydney	6	6	6	1	28	49	66	11	840	>1year	2.301369863	0																							1	6minwt			USU	0	0	13	296	96	0	11	379	122	0	0	13	350	119	0.5	83	108.59265	54	108.1133664	0.764324289	0.499475706	0.936170213	0.715537632	0.467594278	0.099391985	0.086518307	0.087108594	0.075825913
7	3	ada2013	ada	2013	ctrl	5	no specified physical therapy	http://www.ncbi.nlm.nih.gov/pubmed/23464674	australia	new south wales	sydney	0	0	0	1	120	365	63		570	>1year	1.561643836	0																							3	6minwt			lohse	1	1	34	244	263	0	31	263	115			31	2552	125	0.5	19	206.2256046	2308	208.978126	0.09213211	11.04421809	0.977099237	0.090022214	10.79129707	0.029536593	1.823158136	0.028199262	1.740610856
8	3	ada2013	ada	2013	exp	6	four months of walking training	http://www.ncbi.nlm.nih.gov/pubmed/23464674	australia	new south wales	sydney	24	24	24	1	120	365	70		660	>1year	1.808219178	0																							0	6minwt			lohse	1	1	34	232	124	0	34	289	131			34	250	130	0.5	57	127.5480302	18	127.0354281	0.446890477	0.141692757	0.977099237	0.436656344	0.138447884	0.032348693	0.029707012	0.030884038	0.028361965
9	3	ada2013	ada	2013	exp	7	two months of walking therapy	http://www.ncbi.nlm.nih.gov/pubmed/23464674	australia	new south wales	sydney	12	12	12	1	60	365	64		600	>1year	1.643835616	0																							1	6minwt			lohse	1	1	34	225	118	0	33	259	145			33	230	122	0.5	34	131.9843814	5	119.9858966	0.257606238	0.041671564	0.977099237	0.251706859	0.040717254	0.030387661	0.029437302	0.029011797	0.028104467
10	4	aisen/volpe1997/1999	aisen/volpe	1997/1999	ctrl	8	conventional therapy	http://www.ncbi.nlm.nih.gov/pubmed/9109746	usa	NY	white plains						933.6	63.3		23.1	<90days	0.063287671	1		15.8		70.9																			0	fma	fma		lohse	0	0	10	13.8	16.64	1	10	23.9		1	0	6			0.5	10.1	16.64		16.64	0.606971154		0.914285714	0.554945055		0.118420699		0.098990037	
