index,id,author,year,group,group_desc,complete,word_count,ref_count,PT_inc,OT_inc,ST_inc,pg_number,,hpd_STR,h_IS_NUM,hpd,dpw_STR,d_IS_NUM,dpw,duration_STR,dur_IS_NUM,duration,exp_dur,total_hrs_STR,tot_IS_NUM,total_hours,time_MAX,time_50,time_MIN,detailed_time,how_quantified,name,why,materials,procedure,who,how,where,how_much,tailor,modify,planned,actual,tidy_sum
1,abdullah2011,abdullah,2011,ctrl,conventional physiotherapy,1,81,0,Y,,,5,,0.75,1.00,0.75,3,1.00,3.00,08-11W,0.00,,,,0.00,,,,,,1,1,0,0,0,0,1,1,1,0,0,0,1,5
1,abdullah2011,abdullah,2011,exp,robot assisted therapy,1,327,0,Y,,,5,,0.75,1.00,0.75,3,1.00,3.00,08-11W,0.00,,,,0.00,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,1,11
2,ada2003,ada,2003,ctrl,low intensity home exercise,1,108,0,,,,2,,0,1.00,0.00,3,1.00,3.00,4,1.00,4.00,28,,0.00,,,,,,2,1,1,0,0,0,1,1,1,0,0,1,1,7
2,ada2003,ada,2003,exp,overground and treadmill walking,1,483,1,,,,2,,0.75,1.00,0.75,3,1.00,3.00,4,1.00,4.00,28,9,1.00,9.00,6,6,6,1,1,1,1,0,1,1,1,1,1,1,0,1,1,10
3,ada2013,ada,2013,ctrl,no specified physical therapy,1,6,0,,,,0,,0,1.00,0.00,0,1.00,0.00,0,1.00,0.00,120,0,1.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,ada2013,ada,2013,exp,four months of walking training,1,409,2,,,,2,,5,1.00,5.00,3,1.00,3.00,16,1.00,16.00,120,24,1.00,24.00,24,24,24,1,1,1,1,0,1,1,1,1,1,1,0,1,1,10
3,ada2013,ada,2013,exp,two months of walking therapy,1,409,2,,,,2,,0.5,1.00,0.50,3,1.00,3.00,8,1.00,8.00,60,12,1.00,12.00,12,12,12,1,1,1,1,0,1,1,1,1,1,1,0,1,1,10
4,aisen/volpe1997/1999,aisen/volpe,1997/1999,ctrl,conventional therapy,1,56,0,,,,2,,0,1.00,0.00,0,1.00,0.00,0,1.00,0.00,,0,1.00,0.00,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,2
4,aisen/volpe1997/1999,aisen/volpe,1997/1999,exp,robot assisted therapy + conventional therapy,1,123,1,,,,2,,0,1.00,0.00,0,1.00,0.00,0,1.00,0.00,,0,1.00,0.00,,,,,,0,1,1,0,1,1,1,0,0,0,0,0,5
5,arya2012,arya,2012,ctrl,standard care,1,91,2,,,,4,,0,1.00,0.00,0,1.00,0.00,0,1.00,0.00,28,0,1.00,0.00,20,20,20,1,0,1,1,0,0,0,0,1,0,0,0,0,1,4
5,arya2012,arya,2012,exp,"""meaningful"" task specific therapy",1,356,3,,,,3,,0,1.00,0.00,0,1.00,0.00,0,1.00,0.00,28,0,1.00,0.00,20,20,20,1,2,1,1,1,1,1,1,1,0,0,0,0,1,8
6,bale2008,bale,2008,ctrl,training as usual,1,151,0,,,,3,,0.83,1.00,0.83,5,1.00,5.00,4,1.00,4.00,28,16.67,1.00,16.67,16.67,16.67,16.67,1,4,1,1,0,0,1,1,0,1,0,0,1,1,7
6,bale2008,bale,2008,exp,functional strength training,1,142,1,,,,3,,0.83,1.00,0.83,5,1.00,5.00,4,1.00,4.00,28,16.67,1.00,16.67,16.67,16.67,16.67,1,4,1,1,0,1,1,1,0,1,0,0,0,0,6
7,barbeau2003,barbeau,2003,exp,locomotor training with full weight bearing + CPT,1,214,0,,,,2,,,0.00,,4,1.00,4.00,6,1.00,6.00,42,,0.00,,,,,,2,1,1,1,1,1,1,1,1,1,0,0,1,10
7,barbeau2003,barbeau,2003,exp,body weight supported treadmill training,1,333,3,,,,2,,,0.00,,4,1.00,4.00,6,1.00,6.00,42,,0.00,,,,,,2,1,1,1,1,1,1,1,1,1,0,0,1,10
8,blennerhassett2004,blennerhassett,2004,exp,targeted lower limb mobility therapy + usual therapy,1,109,0,,,,2,,1,1.00,1.00,5,1.00,5.00,4,1.00,4.00,28,20,1.00,20.00,31.2,31.2,31.2,1,1,1,1,0,0,1,1,1,1,0,0,0,1,7
8,blennerhassett2004,blennerhassett,2004,exp,targeted upper extremity intervention + usual therapy,1,105,0,,,,2,,1,1.00,1.00,5,1.00,5.00,4,1.00,4.00,28,20,1.00,20.00,31.8,31.8,31.8,1,1,1,1,0,0,1,1,1,1,0,0,0,1,7
9,boake2007,boake,2007,ctrl,conventional therapy,1,86,0,,,,4,,3,1.00,3.00,6,1.00,6.00,2,1.00,2.00,14,36,1.00,36.00,36,36,36,1,1,1,1,0,0,1,1,1,1,1,0,0,1,8
9,boake2007,boake,2007,exp,CIMT,1,130,3,,,,4,,3,1.00,3.00,6,1.00,6.00,2,1.00,2.00,14,36,1.00,36.00,162,106,36,1,1,1,1,1,0,1,1,1,1,0,0,1,1,9
10,bolognini2011,bolognini,2011,ctrl,sham tDCS + CIMT,1,339,3,,,,3,,4,1.00,4.00,,0.00,,,0.00,,14,10,1.00,10.00,184,112,40,1,2,1,1,0,1,0,1,0,1,0,0,0,0,5
10,bolognini2011,bolognini,2011,exp,tDCS + CIMT,1,320,4,,,,4,,4,1.00,4.00,,0.00,,,0.00,,14,40,1.00,40.00,184,112,40,1,2,1,1,1,1,0,1,0,1,0,0,0,0,6
11,brock2011,brock,2011,ctrl,"""task practice"" intervention",1,299,0,Y,,,3,,,0.00,,,0.00,,,0.00,,14,,0.00,,6,6,6,1,,1,1,0,0,1,1,1,0,0,0,0,1,6
11,brock2011,brock,2011,exp,bobath + task specific practice,1,422,2,Y,,,3,,,0.00,,,0.00,,,0.00,,14,,0.00,,6,6,6,1,,1,1,0,0,1,1,1,0,0,0,0,1,6
12,broeren2008,broeren,2008,ctrl,continuation of previous therapy,1,56,0,,,,,,,0.00,,,0.00,,,0.00,,28,,0.00,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,2
12,broeren2008,broeren,2008,exp,computer gaming therapy + conventional therapy,1,301,0,,,,3,,,0.00,,,0.00,,,0.00,,28,,0.00,,,,,,,1,1,1,1,0,1,1,1,0,0,0,0,7
13,brokaw2014,brokaw,2014,ctrl,conventional therapy,1,127,0,,,,2,,,0.00,,,0.00,,,0.00,,30,12,1.00,12.00,12,12,12,1,1,1,0,0,1,1,1,1,1,0,0,0,1,7
13,brokaw2014,brokaw,2014,exp,robot-assisted UE therapy,1,374,2,,,,3,,0.25,1.00,0.25,,0.00,,,0.00,,30,12,1.00,12.00,12,12,12,1,1,1,1,1,1,1,1,1,1,1,0,0,1,10
14,brunner2012,brunner,2012,exp,bimanual therapy,1,325,0,,,,3,,4,1.00,4.00,,0.00,,4,1.00,4.00,28,,0.00,,26,26,26,1,1,1,1,0,1,1,1,0,1,0,0,1,1,8
14,brunner2012,brunner,2012,exp,modified CIMT,1,325,0,,,,3,,4,1.00,4.00,,0.00,,4,1.00,4.00,28,,0.00,,106,66,26,1,1,1,1,0,1,1,1,0,1,0,0,1,1,8
15,burgar2011,burgar,2011,exp,robot lo,1,1045,4,,,,4,,,0.00,,,0.00,,3,1.00,3.00,21,15,1.00,15.00,8.6,8.6,8.6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11
15,burgar2011,burgar,2011,ctrl,standard care,1,330,0,,,,3,,,0.00,,,0.00,,3,1.00,3.00,21,15,1.00,15.00,9.4,9.4,9.4,1,1,1,1,0,0,1,1,1,1,0,0,1,1,8
15,burgar2011,burgar,2011,exp,robot hi,1,1045,4,,,,4,,,0.00,,,0.00,,3,1.00,3.00,21,30,1.00,30.00,15.8,15.8,15.8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11
16,carmeli2011,carmeli,2011,ctrl,conventional PT and OT,1,142,0,Y,Y,,3,,,0.00,,,0.00,,,0.00,,21,,0.00,,,,,,,1,0,0,0,0,1,1,1,0,0,1,1,6
16,carmeli2011,carmeli,2011,exp,handtutor augmented therapy,1,270,0,Y,Y,,2,,,0.00,,,0.00,,,0.00,,21,,0.00,,,,,,,1,1,1,1,0,1,1,1,0,0,1,1,9
17,cauraugh2003,cauraugh,2003,ctrl,bilateral arm training,1,125,0,,,,2,,1.5,1.00,1.50,,0.00,,2,1.00,2.00,14,6,1.00,6.00,6,6,6,1,4,1,0,1,1,0,1,0,1,0,0,0,0,5
17,cauraugh2003,cauraugh,2003,exp,bilateral arm training + 5s stimulation,1,301,0,,,,2,,,0.00,,,0.00,,2,1.00,2.00,14,,0.00,,6,6,6,1,4,1,1,1,1,0,1,0,1,0,0,0,0,6
17,cauraugh2003,cauraugh,2003,exp,bilateral arm training + 10s stimulation,1,301,0,,,,2,,,0.00,,,0.00,,2,1.00,2.00,14,,0.00,,6,6,6,1,4,1,1,1,1,0,1,0,1,0,0,0,0,6
18,chan2009,chan,2009,ctrl,bilateral OT without FES,1,329,0,,Y,,3,,2.5,1.00,2.50,,0.00,,,0.00,,,,0.00,,20,20,20,,2,0,0,1,1,1,1,0,0,0,0,0,0,4
18,chan2009,chan,2009,exp,bilateral OT with FES,1,923,2,,Y,,3,,2.5,1.00,2.50,,0.00,,,0.00,,,,0.00,,20,20,20,,2,0,1,1,1,1,1,0,0,0,0,0,1,6
19,chen2011,chen,2011,ctrl,conventional therapy,1,69,0,Y,Y,,,,,0.00,,5,1.00,5.00,6,1.00,6.00,42,,0.00,,20,20,20,1,,0,0,0,1,1,1,1,1,0,0,0,1,6
19,chen2011,chen,2011,exp,thermal stimulation + conventional therapy,1,570,1,Y,Y,,3,,,0.00,,5,1.00,5.00,6,1.00,6.00,42,,0.00,,20,20,20,1,2,1,1,0,1,1,1,1,1,0,0,0,1,8
20,cho2013,cho,2013,ctrl,treadmill training + conventional therapy,1,392,1,,Y,,,,,0.00,,5,1.00,5.00,6,1.00,6.00,42,,0.00,,33,33,33,1,2,1,0,1,0,0,1,1,1,1,0,0,1,7
