index,id,author,year,year_ini,group,group_desc,complete,cpt_only,word_count,ref_count,PT_inc,OT_inc,ST_inc,pg_number,hpd_STR,h_IS_NUM,hpd,dpw_STR,d_IS_NUM,dpw,duration_STR,dur_IS_NUM,ther_duration,exp_dur,time_MAX,time_50,time_MIN,detailed_time,id,Protocol mentioned elsewhere,protocol,group,name,why,materials,procedure,who,how,where,how_much,tailor,modify,planned,actual,tidy_sum,PEDro_score
1,abdullah2011,abdullah,2011,2011,ctrl,conventional physiotherapy,1,1,81,0,y,,,5,0.75,1,0.75,3,1,3,8 to 11,0,,,,,,,abdullah2011,,,ctrl,1,0,0,0,0,1,1,1,0,0,0,1,5,6
1,abdullah2011,abdullah,2011,2011,exp,robot assisted therapy,1,0,327,0,y,,,5,0.75,1,0.75,3,1,3,8 to 11,0,,,,,,,abdullah2011,,,exp,1,1,1,1,1,1,1,1,1,0,1,1,11,6
2,ada2003,ada,2003,2003,ctrl,low intensity home exercise,1,0,108,0,,,,2,,0,,3,1,3,4,1,4,28,,,,,ada2003,,,ctrl,1,1,0,0,0,1,1,1,0,0,1,1,7,7
2,ada2003,ada,2003,2003,exp,overground and treadmill walking,1,0,483,1,,,,2,0.5,1,0.5,3,1,3,4,1,4,28,6,6,6,1,ada2003,,,exp,1,1,0,1,1,1,1,1,1,0,1,1,10,7
3,ada2013,ada,2013,2013,ctrl,no specified physical therapy,1,0,6,0,,,,0,0,1,0,0,1,0,,0,,120,0,0,0,1,ada2013,,,ctrl,0,0,0,0,0,0,0,0,0,0,0,1,1,8
3,ada2013,ada,2013,2013,exp,four months of walking training,1,0,409,2,,,,2,0.5,1,0.5,3,1,3,16,1,16,120,24,24,24,1,ada2013,,,exp,1,1,0,1,1,1,1,1,1,0,1,1,10,8
3,ada2013,ada,2013,2013,exp,two months of walking therapy,1,0,409,2,,,,2,0.5,1,0.5,3,1,3,8,1,8,60,12,12,12,1,ada2013,,,exp,1,1,0,1,1,1,1,1,1,0,1,1,10,8
4,aisen/volpe1997/1999,aisen/volpe,1997/1999,1997,ctrl,conventional therapy,1,1,56,0,,,,2,,0,,,0,,,0,,,,,,,aisen/volpe1997/1999,,,ctrl,0,0,0,0,0,1,1,0,0,0,0,0,2,
4,aisen/volpe1997/1999,aisen/volpe,1997/1999,1997,exp,robot assisted therapy + conventional therapy,1,0,123,1,,,,2,,0,,,0,,,0,,,,,,,aisen/volpe1997/1999,,,exp,0,1,1,0,1,1,1,0,0,0,0,0,5,
5,arya2012,arya,2012,2012,ctrl,standard care,1,1,91,2,,,,4,1,1,1,4 to 5,0,,4,1,4,28,20,20,20,1,arya2012,,,ctrl,1,1,0,0,0,0,1,1,0,0,0,1,5,8
5,arya2012,arya,2012,2012,exp,"""meaningful"" task specific therapy",1,0,356,3,,,,3,1,1,1,4 to 5,0,,4,1,4,28,20,20,20,1,arya2012,,,exp,1,1,1,1,1,1,1,1,0,0,0,1,9,8
6,bale2008,bale,2008,2008,ctrl,training as usual,1,1,151,0,,,,3,0.83,1,0.83,5,1,5,4,1,4,28,16.67,16.67,16.67,1,bale2008,,,ctrl,1,1,0,0,1,1,0,1,0,0,1,1,7,7
6,bale2008,bale,2008,2008,exp,functional strength training,1,0,142,1,,,,3,0.83,1,0.83,5,1,5,4,1,4,28,16.67,16.67,16.67,1,bale2008,,,exp,1,1,0,1,1,1,0,1,0,0,0,0,6,7
7,barbeau2003,barbeau,2003,2003,exp,locomotor training with full weight bearing + CPT,1,0,214,0,y,,,2,,0,,4,1,4,6,1,6,42,,,,,barbeau2003,,,exp,1,1,1,1,1,1,1,1,1,0,0,1,10,4
7,barbeau2003,barbeau,2003,2003,exp,body weight supported treadmill training,1,0,333,3,y,,,2,,0,,4,1,4,6,1,6,42,,,,,barbeau2003,,,exp,1,1,1,1,1,1,1,1,1,0,0,1,10,4
8,blennerhassett2004,blennerhassett,2004,2004,exp,targeted lower limb mobility therapy + usual therapy,1,0,109,0,y,,,2,2,1,2,5,1,5,4,1,4,28,31.2,31.2,31.2,1,blennerhassett2004,,,exp,1,1,0,0,1,1,1,1,0,0,0,1,7,8
8,blennerhassett2004,blennerhassett,2004,2004,exp,targeted upper extremity intervention + usual therapy,1,0,105,0,y,,,2,2,1,2,5,1,5,4,1,4,28,31.8,31.8,31.8,1,blennerhassett2004,,,exp,1,1,0,0,1,1,1,1,0,0,0,1,7,8
9,boake2007,boake,2007,2007,ctrl,conventional therapy,1,1,86,0,,,,4,3,1,3,6,1,6,2,1,2,14,36,36,36,1,boake2007,,,ctrl,1,1,0,0,1,1,1,1,1,0,0,1,8,6
9,boake2007,boake,2007,2007,exp,CIMT,1,0,130,3,,,,4,3,1,3,6,1,6,2,1,2,14,162,106,36,1,boake2007,,,exp,1,1,1,0,1,1,1,1,0,0,1,1,9,6
10,bolognini2011,bolognini,2011,2011,ctrl,sham tDCS + CIMT,1,0,339,3,,,,3,4,1,4,,0,,2,1,2,14,184,112,40,1,bolognini2011,,,ctrl,1,1,0,1,0,1,0,1,0,0,0,0,5,
10,bolognini2011,bolognini,2011,2011,exp,tDCS + CIMT,1,0,320,4,,,,4,4,1,4,,0,,2,1,2,14,184,112,40,1,bolognini2011,,,exp,1,1,1,1,0,1,0,1,0,0,0,0,6,
11,brock2011,brock,2011,2011,ctrl,"""task practice"" intervention",1,0,299,0,y,,,3,1,1,1,,0,,2,1,2,14,6,6,6,1,brock2011,,,ctrl,1,1,0,0,1,1,1,1,0,0,0,1,7,7
11,brock2011,brock,2011,2011,exp,bobath + task specific practice,1,0,422,2,y,,,3,1,1,1,,0,,2,1,2,14,6,          ,6,1,brock2011,,,exp,1,1,0,0,1,1,1,1,0,0,0,1,7,7
12,broeren2008,broeren,2008,2008,ctrl,continuation of previous therapy,1,1,56,0,,,,,,0,,,0,,4,1,4,28,,,,,broeren2008,,,ctrl,0,0,0,0,0,1,1,0,0,0,0,0,2,5
12,broeren2008,broeren,2008,2008,exp,computer gaming therapy + conventional therapy,1,0,301,0,,,,3,,0,,,0,,4,1,4,28,,,,,broeren2008,,,exp,1,1,1,1,0,1,1,1,0,0,0,0,7,5
13,brokaw2014,brokaw,2014,2014,ctrl,conventional therapy,1,1,127,0,,,,2,,0,,,0,,4,1,4,30,12,12,12,1,brokaw2014,Paper states that the therapy was consistent with the standard of care provided at NRH.,1,ctrl,1,0,0,1,1,1,1,1,0,0,0,1,7,4
13,brokaw2014,brokaw,2014,2014,exp,robot-assisted UE therapy,1,0,374,2,,,,3,0.25,1,0.25,,0,,4,1,4,30,12,12,12,1,brokaw2014,,,exp,1,1,1,1,1,1,1,1,1,0,0,1,10,4
14,brunner2012,brunner,2012,2012,exp,bimanual therapy,1,0,325,0,,,,3,4,1,4,,0,,4,1,4,28,26,26,26,1,brunner2012,,,exp,1,1,0,1,1,1,0,1,0,0,1,1,8,3
14,brunner2012,brunner,2012,2012,exp,modified CIMT,1,0,325,0,,,,3,4,1,4,,0,,4,1,4,28,106,66,26,1,brunner2012,,,exp,1,1,0,1,1,1,0,1,0,0,1,1,8,3
15,burgar2011,burgar,2011,2011,exp,robot lo,1,0,1045,4,,,,4,,0,,,0,,3,1,3,21,8.6,8.6,8.6,1,burgar2011,,,exp,1,1,1,1,1,1,1,1,1,0,1,1,11,6
15,burgar2011,burgar,2011,2011,ctrl,standard care,1,1,330,0,,,,3,,0,,,0,,3,1,3,21,9.4,9.4,9.4,1,burgar2011,,,ctrl,1,1,0,0,1,1,1,1,0,0,1,1,8,6
15,burgar2011,burgar,2011,2011,exp,robot hi,1,0,1045,4,,,,4,,0,,,0,,3,1,3,21,15.8,15.8,15.8,1,burgar2011,,,exp,1,1,1,1,1,1,1,1,1,0,1,1,11,6
16,carmeli2011,carmeli,2011,2011,ctrl,conventional PT and OT,1,1,142,0,y,y,,3,,0,,,0,,3,1,3,21,,,,,carmeli2011,,,ctrl,1,0,0,0,0,1,1,1,0,0,1,1,6,6
16,carmeli2011,carmeli,2011,2011,exp,handtutor augmented therapy,1,0,270,0,y,y,,2,,0,,,0,,3,1,3,21,,,,,carmeli2011,,,exp,1,1,1,1,0,1,1,1,0,0,1,1,9,6
17,cauraugh2003,cauraugh,2003,2003,ctrl,bilateral arm training,1,0,125,0,,,,2,1.5,1,1.5,,0,,2,1,2,14,6,6,6,1,cauraugh2003,,,ctrl,1,0,1,1,0,1,0,1,0,0,0,0,5,3
17,cauraugh2003,cauraugh,2003,2003,exp,bilateral arm training + 5s stimulation,1,0,301,0,,,,2,,0,,,0,,2,1,2,14,6,6,6,1,cauraugh2003,,,exp,1,1,1,1,0,1,0,1,0,0,0,0,6,3
17,cauraugh2003,cauraugh,2003,2003,exp,bilateral arm training + 10s stimulation,1,0,301,0,,,,2,,0,,,0,,2,1,2,14,6,6,6,1,cauraugh2003,,,exp,1,1,1,1,0,1,0,1,0,0,0,0,6,3
18,chan2009,chan,2009,2009,ctrl,bilateral OT without FES,1,0,329,0,,y,,3,2.5,1,2.5,,0,,,0,,,20,20,20,,chan2009,,,ctrl,0,0,1,1,1,1,0,0,0,0,0,0,4,7
18,chan2009,chan,2009,2009,exp,bilateral OT with FES,1,0,923,2,,y,,3,2.5,1,2.5,,0,,,0,,,20,20,20,,chan2009,,,exp,0,1,1,1,1,1,0,0,0,0,0,1,6,7
19,chen2011,chen,2011,2011,ctrl,conventional therapy,1,1,69,0,y,y,,,,0,,5,1,5,6,1,6,42,20,20,20,1,chen2011,,,ctrl,0,0,0,1,1,1,1,1,0,0,0,1,6,7
19,chen2011,chen,2011,2011,exp,thermal stimulation + conventional therapy,1,0,570,1,y,y,,3,,0,,5,1,5,6,1,6,42,20,20,20,1,chen2011,,,exp,1,1,0,1,1,1,1,1,0,0,0,1,8,7
20,cho2013,cho,2013,2013,ctrl,treadmill training + conventional therapy,1,0,392,1,,y,,,,0,,5,1,5,6,1,6,42,33,33,33,1,cho2013,,,ctrl,1,0,1,0,0,1,1,1,1,0,0,1,7,7
20,cho2013,cho,2013,2013,exp,virtual reality walking + conventional therapy,1,0,705,5,,y,,4,,0,,,0,,6,1,6,42,33,33,33,1,cho2013,,,exp,1,1,1,1,0,1,1,1,1,0,0,1,9,7
21,conroy2011,conroy,2011,2011,ctrl,intensive conventional arm therapy,1,1,173,1,,,,5,1,1,1,3,1,3,6,1,6,42,18,18,18,1,conroy2011,,,ctrl,1,0,0,0,0,1,0,1,0,0,0,0,3,6
21,conroy2011,conroy,2011,2011,exp,robot assisted therapy without gravity compensation,1,0,352,2,,,,4,1,1,1,3,1,3,6,1,6,42,18,18,18,1,conroy2011,,,exp,1,1,1,1,0,1,0,1,0,0,0,1,7,6
21,conroy2011,conroy,2011,2011,exp,robot assisted therapy with gravity compensation,1,0,345,2,,,,4,1,1,1,3,1,3,6,1,6,42,18,18,18,1,conroy2011,,,exp,1,1,1,1,0,1,0,1,0,0,0,1,7,6
22,cooke2010,cooke,2010,2010,ctrl,conventional therapy,1,1,200,1,y,,,4,1,1,1,4,1,4,6,1,6,42,9.2,9.2,9.2,1,cooke2010,,,ctrl,1,0,0,0,1,1,0,1,0,0,1,1,6,8
22,cooke2010,cooke,2010,2010,exp,CPT+CPT,1,1,299,1,y,,,4,1,1,1,4,1,4,6,1,6,42,23,23,23,1,cooke2010,,,exp,1,1,1,1,1,1,0,1,1,0,1,1,10,8
22,cooke2010,cooke,2010,2010,exp,CPT+FST,1,0,336,1,y,,,4,1,1,1,4,1,4,6,1,6,42,23.5,23.5,23.5,1,cooke2010,,,exp,1,1,1,1,1,1,0,1,1,0,1,1,10,8
23,crosbie2012,crosbie,2012,2012,exp,VR mediated UE therapy,1,0,204,2,,,,3,0.5 to 0.75,0,,3,1,3,3,1,3,21,6.75,6.75,6.75,1,crosbie2012,,,exp,1,1,1,0,1,1,0,1,1,0,1,1,9,8
23,crosbie2012,crosbie,2012,2012,ctrl,standard therapy matched to the control group,1,0,104,1,,,,3,,0,,,0,,3,1,3,21,6.75,6.75,6.75,1,crosbie2012,,,ctrl,1,0,0,0,1,1,0,0,0,0,0,1,4,8
24,da silva cameiro2011,da silva cameiro,2011,2011,exp,VR + conventional therapy,1,0,362,1,y,y,,3,,0,,3,1,3,12,1,12,84,11.88,11.88,11.88,1,da silva cameiro2011,,,exp,1,1,1,1,0,1,1,0,0,0,1,1,8,5
24,da silva cameiro2011,da silva cameiro,2011,2011,ctrl,conventional therapy,1,1,153,0,y,y,,5,,0,,3,1,3,12,1,12,84,,,,,da silva cameiro2011,,,ctrl,0,0,0,0,0,0,1,0,0,0,1,1,3,5
